Perfil,Experiencia ,Formación Académica,skills
Perfil,Experiencia ,Formación Académica,skills
Resumen,Profesional,Educación,Habilidades
Biografía,Logros,Formación,Cualificaciones
Sobre,Experiencia,Estudios,Conocimientos
Acerca de mi,historial,Formación educativa,Habilidades
personales,trabajo,académico,tecnologías
detalles,Idiomas,Estudios profesionales,herramientas
Extracto,docente,Estudios y certificaciones,inglés
Intereses personales,Director,Formación profesional,francés
Presentación,práctica,Educación Superior,idiomas
Datos,internship,Estudios realizados,toefl
Contacto,ayudante,Estudios y cursos,programación
actividades,Referencias ,Cursos complementarios,librería
adicional,metas,Cursos,español
antecedentes,Referencias,Cursos y seminarios,software
deportes,encargado,Talleres,python
Interés,responsable,Seminarios,excel
Datos de interés,analizar,Exposiciones,sql
Hobbies,manejo,Educación complementaria,office
Misceláneo,liderar,Docencia,lenguaje
extraprogramática,realizar,Publicaciones,ingles
Otros,función,Certificaciones,informática
Voluntariados,controlar,universidad,ofimática
Emprendimientos,ejecutivo,colegio,avanzado
extracurriculares,organizar,instituto,
Complementario,asegurar,coursera,
calle,cliente,edx,
dpto,desarrollar,magister,
avenida,coordinar,mba,
región,kpi,Especialización,
me,asistente,Bachiller,
soy,reportes,licenciatura,
RUT,supervisar,capacitación,
nacionalidad,redacción,bachillerato,
nacimiento,comunicar,título,
mail,apoyo,titulado,
telefono,coordinación,egresado,
fono,Atención,estudiante,
dni,administrar,minor,
rut,revisión,máster,
referencias,medición,postgrado,
,seguimiento,diplomado,
,reporte,Especialización,
,laborales,conocimiento,
,emprendimiento,ciencias,
,apoyar,secundaria,
,creación,primaria,
,desempeñar,workshop,
,mantener,intercambio,
,proponer,pasantía,
,actualizar,licenciado,
,desempeñar,mención,
,asesorar,liceo,
,visitar,colegio,
,selección,carrera,
,business,certificado,
,asegurar,,
,evaluación,,
,propuesta,,
,cotización,,
,funciones,,
,concretar,,
,cátedra,,
,capturar,,
,manager,,
