,CV,Parser calidad,Seccionar calidad,Combinado calidad,Deteccion parser,deteccion seccionar,,,,,,
,1,1,1,1,1,1,,,,,,
,2,1,"0,5",1,1,1,,Técnica,calidad,deteccion,,
,3,"0,5",1,"0,5",1,1,,Fuerza bruta,"0,8235","0,89",,
,4,1,0,1,1,1,,similitud,"0,8815",1,,
,5,1,0,1,1,1,,combinado,"0,9235",1,,
,6,1,1,1,1,1,,,,,,
,7,1,1,1,1,1,,calidad: porcentaje de la seccion rescatada,,,,
,8,1,1,1,1,1,,"deteccion: si es que detecta la seccion o no, no importando si captura todo o muy poco",,,,
,9,1,"0,8",1,1,1,,,,,,
,10,1,1,1,1,1,,,,,,
,11,1,1,1,1,1,,,,,,
,12,1,1,1,1,1,,,,,,
,13,1,1,1,1,1,,,,,,
,14,0,1,1,0,1,,,,"Estos 2 vienen mal: titulos sin sentido, el seccionar es mucho mejor",,
,15,0,1,1,0,1,,,,,,
,16,1,1,1,1,1,,,,,,
,17,1,0,1,1,1,,,,,,
,18,1,"0,8",1,1,1,,,,,,
,19,"0,5",1,"0,5",1,1,,,,,,
,20,1,"0,9",1,1,1,,,,,,
,21,"0,2",1,"0,2",1,1,,,,,,
,22,1,"0,8",1,1,1,,,,,,
,23,1,1,1,1,1,,,,,,
,24,1,"0,5",1,1,1,,,,,,
,25,1,1,1,1,1,,,,,,
,26,1,1,1,1,1,,,,,,
,27,1,"0,9",1,1,1,,,,,,
,28,0,1,1,0,1,,mal titulo ii) experiencia,,,,
,29,1,1,1,1,1,,,,,,
,30,0,1,1,0,1,,"pero parser si detecto cosas, por lo que no desencadenaria seccionar",,,,
,31,1,1,1,1,1,,,,,,
,32,1,1,1,1,1,,,,,,
,33,1,"0,5",1,1,1,,,,,,
,34,1,"0,8",1,1,1,,,,,,
,35,1,1,1,1,1,,,,,,
,36,1,"0,9",1,1,1,,,,,,
,37,1,1,1,1,1,,,,,,
,38,1,1,1,1,1,,,,,,
,39,1,1,1,1,1,,,,,,
,40,1,1,1,1,1,,,,,,
,41,1,1,1,1,1,,,,,,
,42,1,1,1,1,1,,,,,,
,43,1,1,1,1,1,,,,,,
,44,1,1,1,1,1,,,,,,
,45,0,1,1,0,1,,"solo retorna una linea: experiencia laboral para detectar eso, deberia retornar de seguna linea en adelante y asi que retorne vacio, entonces desencadenaria seccionar",,,,
,46,1,1,1,1,1,,,,,,
,47,"0,2",1,"0,2",1,1,,"este caso es problemático, parser para porque pilla una linea “logros”, ya que retorna algo nunca entraria a la simulitud",,,,
,48,1,1,1,1,1,,,,,,
,49,1,1,1,1,1,,,,,,
,50,1,1,1,1,1,,,,,,
,51,1,"0,5",1,1,1,,,,,,
,52,0,1,1,0,1,,,,,,
,53,"0,1","0,8","0,1",1,1,,,,,,
,54,1,1,1,1,1,,documento sin texto,,necesito otro,,dino_matilla
,55,1,"0,8",1,1,1,,,,,,
,56,0,1,1,0,1,,1 linea con “experiencia laboral”,,,,
,57,1,"0,9",1,1,1,,,,,,
,58,0,1,1,0,1,,,,,,
,59,1,"0,2",1,1,1,,,,,,
,60,1,"0,8",1,1,1,,,,,,
,61,1,"0,8",1,1,1,,,,,,
,62,1,"0,9",1,1,1,,,,,,
,63,1,"0,9",1,1,1,,,,,,
,64,1,"0,8",1,1,1,,,,,,
,65,1,1,1,1,1,,,,,,
,66,"0,5","0,8","0,5",1,1,,,,,,
,67,1,"0,9",1,1,1,,,,,,
,68,1,"0,9",1,1,1,,,,,,
,69,1,1,1,1,1,,,,,,
,70,1,1,1,1,1,,,,,,
,71,1,"0,9",1,1,1,,,,,,
,72,1,"0,8",1,1,1,,,,,,
,73,"0,2","0,8","0,2",1,1,,,,,,
,74,1,"0,8",1,1,1,,,,,,
,75,1,"0,7",1,1,1,,,,,,
,76,1,1,1,1,1,,,,,,
,77,1,1,1,1,1,,,,,,
,78,1,"0,9",1,1,1,,,,,,
,79,"0,25",1,"0,25",1,1,,,,,,
,80,1,1,1,1,1,,,,,,
,81,0,1,1,0,1,,,,,,
,82,1,1,1,1,1,,,,,,
,83,1,1,1,1,1,,,,,,
,84,1,"0,8",1,1,1,,,,,,
,85,1,1,1,1,1,,,,,,
,86,1,1,1,1,1,,,,,,
,87,1,1,1,1,1,,,,,,
,88,0,"0,8",1,0,1,,,,,,
,89,1,1,1,1,1,,,,,,
,90,1,"0,25",1,1,1,,,,,,
,91,1,1,1,1,1,,,,,,
,92,1,1,1,1,1,,,,,,
,93,1,"0,5",1,1,1,,,,,,
,94,"0,2",1,"0,2",1,1,,,,,,
,95,1,1,1,1,1,,,,,,
,96,1,1,1,1,1,,,,,,
,97,1,1,1,1,1,,,,,,
,98,"0,7",1,"0,7",1,1,,,,,,
,99,0,1,0,0,1,,,,,,
,100,1,"0,5",1,1,1,,,,,,
,,"0,8235","0,8815","0,9235","0,89",1,,,,,,
