1,2,3,
Perfil,Experiencia ,Formación Académica,skills
Resumen,Profesional,Educación,Habilidades
Biografía,Logros,Formación,Cualificaciones
Sobre,Experiencia,Estudios,Conocimientos
Acerca de mi,historial,Formación educativa,Habilidades
personales,trabajo,académico,tecnologías
detalles,Idiomas,Estudios profesionales,herramientas
Extracto,docente,Estudios y certificaciones,inglés
Intereses personales,Director,Formación profesional,francés
Presentación,práctica,Educación Superior,idiomas
Datos,internship,Estudios realizados,toefl
Contacto,ayudante,Estudios y cursos,programación
actividades,Referencias ,Cursos complementarios,librería
adicional,metas,Cursos,español
antecedentes,Referencias,Cursos y seminarios,softwares
deportes,encargado,Talleres,python
Interés,responsable,Seminarios,excel
Datos de interés,analizar,Exposiciones,sql
Hobbies,manejo,Educación complementaria,office
Misceláneo,liderar,Docencia,lenguaje
extraprogramática,realizar,Publicaciones,ingles
Otros,función,Certificaciones,
Voluntariados,controlar,universidad,
Emprendimientos,ejecutivo,colegio,
extracurriculares,organizar,instituto,
Complementario,asegurar,coursera,
calle,cliente,edx,
dpto,desarrollar,magister,
avenida,coordinar,mba,
región,kpi,Especialización,
,asistente,Bachiller,
,reportes,licenciatura,
,supervisar,capacitación,
,redacción,bachillerato,
,comunicar,título,
,apoyo,titulado,
,coordinación,egresado,
,Atención,estudiante,
,administrar,,
,revisión,,
,medición,,
,segumiento,,
,reporte,,
